Time,P0, R0, Y0,P1, R1, Y1,P2, R2, Y2,P3, R3, Y3,P4, R4, Y4,P5, R5, Y5,P6, R6, Y6,P7, R7, Y7,
16-25-53.776,0.00,0.00,0.00,3.74,93.08,7.10,-0.63,1.66,1.50,7.54,-102.34,3.90,1.43,-1.12,-1.70,-17.95,100.19,7.60,-5.06,-87.75,-4.10,82.60,-156.73,-168.20,
16-25-53.788,0.00,0.00,0.00,3.74,93.08,7.10,-0.63,1.66,1.50,7.54,-102.34,3.90,1.43,-1.12,-1.70,-17.95,100.19,7.60,-5.06,-87.75,-4.10,82.60,-156.73,-168.20,
16-25-53.798,0.00,0.00,0.00,3.74,93.08,7.10,-0.63,1.66,1.50,7.54,-102.35,3.90,1.43,-1.12,-1.70,-17.95,100.19,7.60,-5.05,-87.73,-4.10,82.60,-156.73,-168.20,
16-25-53.808,0.00,0.00,0.00,3.74,93.08,7.10,-0.63,1.66,1.50,7.54,-102.35,3.90,1.43,-1.12,-1.70,-17.95,100.18,7.60,-5.05,-87.73,-4.10,82.60,-156.73,-168.20,
16-25-53.817,0.00,0.00,0.00,3.75,93.08,7.10,-0.63,1.66,1.50,7.54,-102.35,3.90,1.43,-1.12,-1.70,-17.95,100.18,7.60,-5.05,-87.73,-4.10,82.60,-156.73,-168.20,
16-25-53.827,0.00,0.00,0.00,3.75,93.08,7.10,-0.63,1.66,1.50,7.54,-102.35,3.90,1.43,-1.11,-1.70,-17.95,100.18,7.60,-5.05,-87.73,-4.10,82.59,-156.75,-168.20,
16-25-53.836,0.00,0.00,0.00,3.75,93.08,7.10,-0.63,1.66,1.50,7.55,-102.36,3.90,1.43,-1.11,-1.70,-17.95,100.18,7.60,-5.06,-87.71,-4.10,82.59,-156.77,-168.20,
16-25-53.846,0.00,0.00,0.00,3.75,93.08,7.10,-0.63,1.66,1.50,7.55,-102.36,3.90,1.43,-1.11,-1.70,-17.94,100.17,7.60,-5.06,-87.71,-4.10,82.59,-156.79,-168.20,
16-25-53.857,0.00,0.00,0.00,3.75,93.09,7.10,-0.63,1.66,1.50,7.55,-102.36,3.90,1.43,-1.11,-1.70,-17.94,100.17,7.60,-5.06,-87.71,-4.10,82.59,-156.81,-168.20,
16-25-53.868,0.00,0.00,0.00,3.75,93.09,7.10,-0.63,1.66,1.50,7.55,-102.36,3.90,1.43,-1.12,-1.70,-17.94,100.17,7.60,-5.06,-87.71,-4.10,82.59,-156.82,-168.20,
16-25-53.876,0.00,0.00,0.00,3.75,93.09,7.10,-0.63,1.66,1.50,7.56,-102.37,3.90,1.43,-1.12,-1.70,-17.94,100.17,7.60,-5.05,-87.70,-4.10,82.59,-156.82,-168.20,
16-25-53.886,0.00,0.00,0.00,3.75,93.09,7.10,-0.63,1.66,1.50,7.56,-102.37,3.90,1.43,-1.12,-1.70,-17.94,100.15,7.60,-5.05,-87.70,-4.10,82.59,-156.84,-168.20,
16-25-53.896,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.56,-102.37,3.90,1.43,-1.12,-1.70,-17.94,100.15,7.60,-5.05,-87.70,-4.10,82.60,-156.98,-168.30,
16-25-53.908,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.56,-102.37,3.90,1.44,-1.12,-1.70,-17.94,100.15,7.60,-5.05,-87.70,-4.10,82.60,-157.00,-168.30,
16-25-53.917,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.56,-102.38,3.90,1.44,-1.12,-1.70,-17.94,100.15,7.60,-5.05,-87.69,-4.10,82.60,-157.02,-168.40,
16-25-53.927,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.56,-102.38,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.05,-87.69,-4.10,82.60,-157.05,-168.40,
16-25-53.937,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.56,-102.38,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.05,-87.69,-4.10,82.59,-157.11,-168.40,
16-25-53.946,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.56,-102.38,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.05,-87.69,-4.10,82.58,-157.16,-168.40,
16-25-53.956,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.57,-102.39,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.03,-87.67,-4.10,82.57,-157.21,-168.50,
16-25-53.967,0.00,0.00,0.00,3.75,93.10,7.10,-0.63,1.66,1.50,7.57,-102.39,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.03,-87.67,-4.10,82.57,-157.24,-168.50,
16-25-53.975,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.57,-102.39,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.03,-87.67,-4.10,82.56,-157.28,-168.50,
16-25-53.987,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.57,-102.39,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.03,-87.67,-4.10,82.56,-157.32,-168.50,
16-25-53.996,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.57,-102.40,3.90,1.44,-1.12,-1.70,-17.94,100.13,7.60,-5.04,-87.66,-4.10,82.55,-157.37,-168.60,
16-25-54.006,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.57,-102.40,3.90,1.44,-1.12,-1.70,-17.94,100.12,7.60,-5.04,-87.66,-4.10,82.54,-157.40,-168.60,
16-25-54.018,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.57,-102.40,3.90,1.44,-1.12,-1.70,-17.94,100.12,7.60,-5.04,-87.66,-4.10,82.54,-157.40,-168.60,
16-25-54.026,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.57,-102.40,3.90,1.44,-1.12,-1.70,-17.94,100.12,7.60,-5.04,-87.66,-4.10,82.54,-157.41,-168.60,
16-25-54.035,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.56,-102.41,3.90,1.44,-1.12,-1.70,-17.94,100.12,7.60,-5.03,-87.65,-4.10,82.54,-157.43,-168.60,
16-25-54.048,0.00,0.00,0.00,3.75,93.11,7.10,-0.63,1.66,1.50,7.56,-102.41,3.90,1.44,-1.12,-1.70,-17.93,100.12,7.60,-5.03,-87.65,-4.10,82.53,-157.47,-168.60,
16-25-54.056,0.00,0.00,0.00,3.76,93.12,7.10,-0.63,1.66,1.50,7.56,-102.41,3.90,1.44,-1.12,-1.70,-17.93,100.12,7.60,-5.03,-87.65,-4.10,82.51,-157.49,-168.60,
16-25-54.067,0.00,0.00,0.00,3.76,93.12,7.10,-0.63,1.66,1.50,7.56,-102.41,3.90,1.45,-1.12,-1.70,-17.93,100.12,7.60,-5.03,-87.65,-4.10,82.50,-157.51,-168.60,
16-25-54.078,0.00,0.00,0.00,3.76,93.12,7.10,-0.63,1.66,1.50,7.57,-102.42,3.90,1.45,-1.12,-1.70,-17.93,100.12,7.60,-5.02,-87.63,-4.10,82.50,-157.52,-168.60,
16-25-54.088,0.00,0.00,0.00,3.76,93.12,7.10,-0.63,1.66,1.50,7.57,-102.42,3.90,1.45,-1.12,-1.70,-17.93,100.11,7.60,-5.02,-87.63,-4.10,82.50,-157.53,-168.60,
16-25-54.097,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.57,-102.42,3.90,1.45,-1.12,-1.70,-17.93,100.11,7.60,-5.02,-87.63,-4.10,82.48,-157.56,-168.70,
16-25-54.106,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.57,-102.42,3.90,1.45,-1.12,-1.70,-17.93,100.11,7.60,-5.02,-87.63,-4.10,82.48,-157.57,-168.70,
16-25-54.116,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.56,-102.43,3.90,1.45,-1.12,-1.70,-17.93,100.11,7.60,-5.02,-87.63,-4.10,82.47,-157.61,-168.70,
16-25-54.126,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.56,-102.43,3.90,1.45,-1.12,-1.70,-17.93,100.11,7.60,-5.02,-87.62,-4.10,82.46,-157.62,-168.70,
16-25-54.138,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.56,-102.43,3.90,1.45,-1.12,-1.70,-17.93,100.11,7.60,-5.02,-87.62,-4.10,82.45,-157.57,-168.70,
16-25-54.148,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.56,-102.43,3.90,1.44,-1.11,-1.70,-17.93,100.11,7.60,-5.02,-87.62,-4.10,82.45,-157.57,-168.70,
16-25-54.158,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.44,-1.11,-1.70,-17.93,100.11,7.60,-5.02,-87.62,-4.10,82.45,-157.57,-168.70,
16-25-54.167,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.44,-1.11,-1.70,-17.93,100.11,7.60,-5.01,-87.61,-4.10,82.45,-157.59,-168.70,
16-25-54.175,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.44,-1.11,-1.70,-17.93,100.11,7.60,-5.01,-87.61,-4.10,82.45,-157.64,-168.70,
16-25-54.186,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.44,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.61,-4.10,82.45,-157.64,-168.70,
16-25-54.198,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.44,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.61,-4.10,82.44,-157.66,-168.70,
16-25-54.207,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.44,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.44,-157.66,-168.70,
16-25-54.217,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.44,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.44,-157.69,-168.80,
16-25-54.226,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.55,-102.42,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.44,-157.70,-168.80,
16-25-54.238,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.43,-157.73,-168.80,
16-25-54.248,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.42,-157.75,-168.80,
16-25-54.256,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.40,-157.81,-168.90,
16-25-54.267,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.42,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.39,-157.84,-168.90,
16-25-54.276,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.42,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.38,-157.85,-168.90,
16-25-54.288,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.42,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.38,-157.85,-168.90,
16-25-54.297,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.42,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.37,-157.89,-168.90,
16-25-54.305,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.42,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.37,-157.89,-168.90,
16-25-54.316,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.43,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.36,-157.92,-169.00,
16-25-54.328,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.43,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.36,-157.92,-169.00,
16-25-54.337,0.00,0.00,0.00,3.78,93.14,7.10,-0.64,1.66,1.50,7.54,-102.43,3.90,1.43,-1.12,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.34,-157.91,-169.00,
16-25-54.346,0.00,0.00,0.00,3.78,93.14,7.10,-0.64,1.66,1.50,7.54,-102.43,3.90,1.43,-1.13,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.34,-157.91,-169.00,
16-25-54.357,0.00,0.00,0.00,3.78,93.14,7.10,-0.64,1.66,1.50,7.54,-102.43,3.90,1.43,-1.13,-1.70,-17.93,100.11,7.60,-5.01,-87.62,-4.10,82.34,-157.92,-169.00,
16-25-54.366,0.00,0.00,0.00,3.78,93.14,7.10,-0.64,1.66,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.93,100.11,7.60,-5.01,-87.63,-4.10,82.34,-157.92,-169.00,
16-25-54.376,0.00,0.00,0.00,3.78,93.14,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.93,100.11,7.60,-5.01,-87.63,-4.10,82.33,-158.01,-169.10,
16-25-54.386,0.00,0.00,0.00,3.78,93.14,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.44,-1.13,-1.70,-17.93,100.11,7.60,-5.01,-87.63,-4.10,82.33,-158.01,-169.10,
16-25-54.395,0.00,0.00,0.00,3.78,93.14,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.44,-1.13,-1.70,-17.93,100.11,7.60,-5.01,-87.63,-4.10,82.33,-158.01,-169.10,
16-25-54.406,0.00,0.00,0.00,3.78,93.14,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.44,-1.13,-1.70,-17.94,100.10,7.60,-5.00,-87.63,-4.10,82.33,-158.01,-169.10,
16-25-54.415,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.44,3.90,1.44,-1.13,-1.70,-17.94,100.10,7.60,-5.00,-87.63,-4.10,82.32,-158.13,-169.20,
16-25-54.426,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.94,100.10,7.60,-5.00,-87.63,-4.10,82.32,-158.13,-169.20,
16-25-54.437,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.45,3.90,1.43,-1.13,-1.70,-17.94,100.10,7.60,-5.00,-87.63,-4.10,82.32,-158.13,-169.20,
16-25-54.447,0.00,0.00,0.00,3.77,93.14,7.10,-0.64,1.66,1.50,7.54,-102.45,3.90,1.43,-1.13,-1.70,-17.95,100.11,7.60,-5.00,-87.64,-4.10,82.32,-158.13,-169.20,
16-25-54.456,0.00,0.00,0.00,3.77,93.13,7.10,-0.64,1.66,1.50,7.54,-102.45,3.90,1.43,-1.13,-1.70,-17.95,100.11,7.60,-5.00,-87.64,-4.10,82.31,-158.32,-169.40,
16-25-54.467,0.00,0.00,0.00,3.77,93.13,7.10,-0.64,1.66,1.50,7.54,-102.45,3.90,1.43,-1.13,-1.70,-17.95,100.11,7.60,-5.00,-87.64,-4.10,82.31,-158.32,-169.40,
16-25-54.477,0.00,0.00,0.00,3.77,93.13,7.10,-0.64,1.66,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.95,100.11,7.60,-5.00,-87.64,-4.10,82.31,-158.32,-169.40,
16-25-54.486,0.00,0.00,0.00,3.77,93.13,7.10,-0.64,1.66,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.95,100.12,7.60,-5.00,-87.66,-4.10,82.31,-158.32,-169.40,
16-25-54.496,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.95,100.12,7.60,-5.00,-87.66,-4.10,82.30,-158.32,-169.40,
16-25-54.506,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-5.00,-87.66,-4.10,82.30,-158.32,-169.40,
16-25-54.516,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-5.00,-87.66,-4.10,82.30,-158.32,-169.40,
16-25-54.527,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-4.99,-87.68,-4.10,82.30,-158.32,-169.40,
16-25-54.537,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-4.99,-87.68,-4.10,82.30,-158.37,-169.40,
16-25-54.545,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-4.99,-87.68,-4.10,82.30,-158.37,-169.40,
16-25-54.556,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-4.99,-87.68,-4.10,82.30,-158.37,-169.40,
16-25-54.566,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.66,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-5.01,-87.69,-4.10,82.30,-158.37,-169.40,
16-25-54.576,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.67,1.50,7.54,-102.44,3.90,1.43,-1.12,-1.70,-17.95,100.12,7.60,-5.01,-87.69,-4.10,82.30,-158.37,-169.40,
16-25-54.584,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.67,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.95,100.12,7.60,-5.01,-87.69,-4.10,82.30,-158.37,-169.40,
16-25-54.598,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.67,1.50,7.54,-102.44,3.90,1.43,-1.13,-1.70,-17.95,100.12,7.60,-5.01,-87.69,-4.10,82.28,-158.37,-169.40,
16-25-54.608,0.00,0.00,0.00,3.77,93.13,7.10,-0.63,1.67,1.50,7.54,-102.42,3.90,1.43,-1.13,-1.70,-17.95,100.12,7.60,-5.01,-87.69,-4.10,82.28,-158.37,-169.40,
16-25-54.618,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.54,-102.42,3.90,1.43,-1.13,-1.70,-17.95,100.12,7.60,-5.01,-87.69,-4.10,82.28,-158.37,-169.40,
16-25-54.628,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.54,-102.42,3.90,1.44,-1.13,-1.70,-17.96,100.12,7.60,-5.01,-87.69,-4.10,82.28,-158.37,-169.40,
16-25-54.638,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.54,-102.42,3.90,1.44,-1.13,-1.70,-17.96,100.12,7.60,-5.01,-87.69,-4.10,82.28,-158.37,-169.40,
16-25-54.648,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.53,-102.41,3.90,1.44,-1.13,-1.70,-17.96,100.13,7.60,-4.99,-87.69,-4.10,82.27,-158.52,-169.50,
16-25-54.658,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.53,-102.41,3.90,1.44,-1.13,-1.70,-17.96,100.13,7.60,-4.99,-87.69,-4.10,82.25,-158.52,-169.50,
16-25-54.668,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.53,-102.41,3.90,1.43,-1.13,-1.70,-17.96,100.13,7.60,-4.99,-87.69,-4.10,82.24,-158.55,-169.50,
16-25-54.677,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.53,-102.41,3.90,1.43,-1.13,-1.70,-17.96,100.13,7.60,-4.99,-87.69,-4.10,82.23,-158.58,-169.50,
16-25-54.687,0.00,0.00,0.00,3.77,93.12,7.10,-0.63,1.67,1.50,7.52,-102.41,3.90,1.43,-1.13,-1.70,-17.97,100.14,7.60,-4.99,-87.70,-4.10,82.22,-158.62,-169.60,
16-25-54.697,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.52,-102.41,3.90,1.43,-1.13,-1.70,-17.97,100.14,7.60,-4.99,-87.70,-4.10,82.19,-158.67,-169.60,
16-25-54.707,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.52,-102.41,3.90,1.42,-1.13,-1.70,-17.97,100.14,7.60,-4.99,-87.70,-4.10,82.18,-158.70,-169.60,
16-25-54.717,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.52,-102.41,3.90,1.42,-1.13,-1.70,-17.97,100.14,7.60,-4.99,-87.70,-4.10,82.16,-158.75,-169.70,
16-25-54.727,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.13,-1.70,-17.97,100.14,7.60,-4.98,-87.72,-4.10,82.15,-158.79,-169.70,
16-25-54.737,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.13,-1.70,-17.97,100.14,7.60,-4.98,-87.72,-4.10,82.16,-158.82,-169.70,
16-25-54.747,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.13,-1.70,-17.97,100.14,7.60,-4.98,-87.72,-4.10,82.15,-158.85,-169.70,
16-25-54.757,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.13,-1.70,-17.97,100.14,7.60,-4.98,-87.72,-4.10,82.14,-158.89,-169.80,
16-25-54.767,0.00,0.00,0.00,3.77,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.13,-1.70,-17.98,100.14,7.60,-4.97,-87.72,-4.10,82.13,-158.90,-169.80,
16-25-54.777,0.00,0.00,0.00,3.78,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.13,-1.70,-17.98,100.14,7.60,-4.97,-87.72,-4.10,82.11,-158.93,-169.80,
16-25-54.787,0.00,0.00,0.00,3.78,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.14,-1.70,-17.98,100.14,7.60,-4.97,-87.72,-4.10,82.11,-158.93,-169.80,
16-25-54.797,0.00,0.00,0.00,3.78,93.10,7.10,-0.63,1.67,1.50,7.51,-102.40,3.90,1.42,-1.14,-1.70,-17.98,100.14,7.60,-4.97,-87.72,-4.10,82.11,-158.94,-169.80,
